time,weekday_power,weekend_power
00:00,57944.6705659472,50810.1950170052
00:05,62752.79134758455,55897.22096270096
00:10,68333.08035590281,60388.442233530695
00:15,73540.34331388822,64699.210913539384
00:20,78526.37213683195,69362.24240972938
00:25,83603.52773885353,74066.41156551268
00:30,88769.01350019845,78600.97429912823
00:35,94045.2884287414,82667.1640365969
00:40,98921.6897573082,86827.20986296963
00:45,103803.85642506121,90327.32466275735
00:50,107611.73388280722,93748.83714867932
00:55,110544.5275069062,96586.94675417145
01:00,108250.43880981888,95809.13386270145
01:05,106181.24136591375,94013.1638962972
01:10,103385.00883567364,92004.50531590321
01:15,100527.93906954303,89622.88545404936
01:20,97520.49721045817,87662.23521378999
01:25,94736.87098157303,84636.84554876278
01:30,91626.98678963436,82246.75616875736
01:35,88870.20811039254,79605.56286028904
01:40,85388.88979013516,77049.58327526398
01:45,82587.92451877202,74721.20038464852
01:50,80250.07947875638,71985.24353890277
01:55,77678.86727645637,69938.12643220832
02:00,74179.73663960869,67572.23567549308
02:05,70833.60261579257,65623.20941677845
02:10,68139.16704461676,63328.834234251146
02:15,65568.25601675185,61569.37826191868
02:20,63223.74211424468,59972.31233659424
02:25,60986.91958474593,58460.63298202228
02:30,58846.17170004456,56939.447025443464
02:35,57288.54054661896,56091.76060922307
02:40,56030.276781684246,55089.548698563965
02:45,55152.009104009005,54409.913078728394
02:50,53765.31595496316,53867.90712885571
02:55,52863.943895623706,53422.78209579835
03:00,51942.95247308336,52441.614345036236
03:05,50551.784732430286,51500.67680549405
03:10,49448.62580157284,50128.87413590478
03:15,48088.69415233172,49802.235933314674
03:20,47287.742254638964,48447.58835916505
03:25,46361.75994145979,47897.45858575924
03:30,45651.24642413608,46921.951584373935
03:35,45196.08580285913,46746.252294556325
03:40,44199.28447251181,46476.26479756162
03:45,43489.8035532513,45765.73272120377
03:50,42996.35075379717,45492.93645543432
03:55,42332.992548026494,44889.69934627202
04:00,41483.5515662824,44171.08665820834
04:05,40882.92369285143,44479.4894696762
04:10,40764.77726445305,44074.594647838756
04:15,40289.8682052173,43567.54706625492
04:20,39795.382807699956,43142.99086299421
04:25,39915.98165649845,42525.70990995815
04:30,39800.24462358088,42050.509445097276
04:35,39635.80338201547,42040.31145385356
04:40,39285.83868842754,41945.76397571265
04:45,39154.13941044959,42343.70169335417
04:50,39255.37704556299,42331.299898917954
04:55,39469.98534303245,42537.766009775936
05:00,40812.922149149985,42952.81561102979
05:05,42187.783445388275,43248.12523882457
05:10,43309.22796694831,43551.42905467057
05:15,44880.79919422718,44242.55902056897
05:20,46044.88141081372,44529.05343559376
05:25,47085.998408040265,45246.0672860472
05:30,47815.78708921047,45018.68665077413
05:35,48693.32334325761,45434.55727674676
05:40,49998.22612071375,45796.36990676223
05:45,51563.214535339685,45578.2366025322
05:50,52264.90794420685,46230.735194820925
05:55,53387.858337942394,46855.75106494438
06:00,55153.60102602311,48796.09174637092
06:05,57276.364494457,50364.98356029323
06:10,59396.24529329777,52371.48154932202
06:15,61305.1749128096,54229.41727608005
06:20,63258.59229887785,55845.97173551855
06:25,64163.793576035016,57180.87150459029
06:30,65542.09686581732,59222.41428556255
06:35,66823.72316193205,60592.488482059656
06:40,68136.71462421665,61828.994920360456
06:45,68625.26258287055,63306.36408405312
06:50,69154.89933945617,64143.50681441137
06:55,69666.63772961289,65293.63280993169
07:00,69974.00775309361,66508.01479265289
07:05,70758.4380817751,66783.96552181552
07:10,71931.55553141469,67656.41231508105
07:15,72753.76173924175,68405.7918241851
07:20,73130.1867581993,68450.47285361732
07:25,72898.45454284835,69103.79247062483
07:30,72665.34553007981,69332.94479081735
07:35,72705.2726551904,68766.61058217258
07:40,72189.92017181247,69035.90668993042
07:45,72090.83378266408,68598.55978578774
07:50,71085.7716678111,67852.20510459498
07:55,70448.31446345916,66981.70284355813
08:00,67072.06299613288,63999.78427679864
08:05,64406.06689661452,61630.6526330356
08:10,61968.404043822375,59205.993791187066
08:15,59286.53174908223,56693.31245712051
08:20,56690.10694407231,54359.31202895554
08:25,54199.437390702304,51655.07266445084
08:30,51552.845529788334,49021.052519314966
08:35,49135.70556350239,47222.74911423631
08:40,47128.119804035174,45526.59846890405
08:45,45692.20614730988,43927.58801135093
08:50,44250.95740059137,43091.525576675274
08:55,42943.0428787842,42120.42618167497
09:00,42680.375746456404,41293.222171596615
09:05,42018.56643778054,40707.26979335588
09:10,41657.716439609656,40268.237627948365
09:15,41501.36388287268,40457.03010143906
09:20,41314.16245899746,40380.242684320045
09:25,40688.49408253377,40042.36940663093
09:30,40494.967995521416,39377.33938442408
09:35,39995.31960768805,39006.71154163862
09:40,40234.323034400724,38926.03506006226
09:45,39533.05987472656,38366.13941368576
09:50,39163.90606713074,37134.47270004301
09:55,38304.09607983529,37147.7387310253
10:00,36505.39630357061,35215.13296668616
10:05,34470.23157083196,32594.6813353237
10:10,32360.504652946034,30408.24929740151
10:15,30475.195714130023,28874.402275422657
10:20,28516.91651218085,26805.11750132131
10:25,26895.307303755842,25152.740437047887
10:30,25610.195989177795,24046.560869895624
10:35,24492.537660516173,23046.03422050137
10:40,23086.69842238173,22291.901410393893
10:45,22198.922237541145,21819.380078825867
10:50,21497.27185359328,21382.422081128938
10:55,20633.07332452921,21238.26742524316
11:00,20384.04509161958,21369.631380246985
11:05,20369.07241970311,21548.139438839353
11:10,19929.357744454934,21686.89261631214
11:15,19743.53311799732,21821.45424653645
11:20,19768.48757119144,22479.7000118566
11:25,19823.04316886411,22638.546689025694
11:30,20029.30463198933,23179.12664859735
11:35,20461.575996198564,23519.030882169744
11:40,20870.570879066385,24057.925580476545
11:45,21533.62791040196,24450.07291325934
11:50,22123.327454330672,24749.746935611813
11:55,22346.06746154787,25099.849160427926
12:00,29772.254582603153,30850.047019756475
12:05,37904.65272905212,37186.88864656263
12:10,45572.42477197809,43532.15657969304
12:15,53202.24883608128,49305.51597845647
12:20,59931.260164795916,54982.51300233223
12:25,66681.78395316066,60241.60844435208
12:30,72143.88350816123,65844.23791343784
12:35,77596.25943139996,70182.18683282069
12:40,82959.96099596095,74245.91349613304
12:45,87353.49365522146,78065.45012335113
12:50,91747.45656367496,80626.65833947995
12:55,94987.57718633536,82760.4151599187
13:00,94380.92582420236,82072.26681010427
13:05,93405.63695350515,81736.98624205338
13:10,92038.04686862859,80165.93383676588
13:15,90319.5885668588,78609.44381727978
13:20,87843.07421193858,76595.2541229909
13:25,85444.04773667803,75105.26710572549
13:30,83715.26345427618,73042.2480465832
13:35,81654.4558696346,71242.90755764926
13:40,78427.88809655377,69471.61154463553
13:45,75904.5196045156,68075.99915820181
13:50,73277.07383269024,65825.65682769717
13:55,71220.65478981727,64163.94600872611
14:00,65604.48299880263,59455.066763766685
14:05,60035.251394744526,54825.30837460068
14:10,54958.52604191595,50369.34795485092
14:15,50471.19905858099,46486.80848342377
14:20,46065.27522256203,42858.70025116192
14:25,42354.2468581608,40033.727041170154
14:30,39356.09838164479,37377.49601680008
14:35,36623.37063229179,35091.676776078944
14:40,34670.51257017445,33256.8161651012
14:45,32874.09311463267,31831.81973610084
14:50,31507.750752415825,30537.625508349356
14:55,30363.847222981072,29231.28875712548
15:00,29409.46846306376,29021.495335565094
15:05,28540.623242715268,28790.268847661984
15:10,27849.815138431055,28085.05182606251
15:15,27368.58141605818,28233.873359297104
15:20,27203.752950219066,28025.85162265618
15:25,27330.633437235392,27782.439399453375
15:30,26978.818672117555,28080.16888957717
15:35,26323.97940036832,28110.37395686259
15:40,26118.664485467707,28037.51881602823
15:45,25958.353636155112,27855.64023490616
15:50,25512.658497124212,27910.432831927494
15:55,25595.438441857823,27773.580974856075
16:00,25717.801312347627,28204.48931673046
16:05,26028.269130017958,28528.102691409287
16:10,26529.810614300535,29161.804138820826
16:15,26722.002928814585,29120.666479227522
16:20,27364.063799531657,29446.354021616935
16:25,27438.367835163124,29834.223383496646
16:30,27426.923206629268,30202.647423089606
16:35,27221.350142212854,30201.91282202544
16:40,27302.280015416552,30414.68785966979
16:45,27234.77391703452,31019.480594615026
16:50,27070.762924662107,30778.531445568537
16:55,27404.72234827036,30569.947955172665
17:00,27441.20747983694,30228.012765716987
17:05,27268.161254411483,30074.653990615487
17:10,26669.899751542027,29152.6432314324
17:15,26482.698327666803,28296.400873405833
17:20,26459.72302076049,27602.54856238728
17:25,26372.94175853196,27154.053006800215
17:30,26354.18289371707,27149.040434832965
17:35,26218.955572356503,26750.108845163457
17:40,26049.867639506665,26660.66036264441
17:45,26281.34170534181,26212.251230711947
17:50,26841.870353984978,26412.797321229296
17:55,26502.790964980002,26770.634463132807
18:00,26206.048096566436,25626.601335262338
18:05,26089.06334098916,24854.794887787568
18:10,26153.94491929388,24335.82084186786
18:15,25578.314523976336,24030.7453411024
18:20,25790.384351207085,23785.30216201631
18:25,25883.060027379743,23858.5462092964
18:30,25785.135311052458,24284.225920067016
18:35,25362.28640416997,24260.63226235909
18:40,25425.05976142898,24736.524116456825
18:45,25445.41054825798,24690.50352037818
18:50,25484.089950708872,24975.91763972037
18:55,26061.484367717723,25506.08354891179
19:00,31531.37143311164,29877.435210800533
19:05,36724.30709297009,34202.76627661064
19:10,41834.85003236863,38450.79138337408
19:15,46931.624997591105,43198.258790115884
19:20,51983.05169787115,47006.949248680685
19:25,56842.11398395996,50392.94161255885
19:30,61467.9381825223,53490.66787649276
19:35,65649.53008930996,56974.83751200535
19:40,69296.58039871177,60838.968745001046
19:45,72976.80292089404,62709.565537159106
19:50,76010.36090599414,64644.936858445704
19:55,78605.83916277945,67237.73292033367
20:00,79070.50829122175,67421.3399745479
20:05,79045.29568851182,68302.04022682847
20:10,78217.96951528803,68149.37284096383
20:15,77687.85948459012,67622.75030161132
20:20,77121.65154659931,66960.57226000652
20:25,76420.08721249005,66845.9312821693
20:30,75837.91702943888,65613.35712015316
20:35,75075.0421853268,64475.41685993254
20:40,74037.28113180569,64301.446043207085
20:45,73838.118780365,64039.62558157282
20:50,72832.54036648043,63283.20254461824
20:55,72044.92619377075,63152.52997885128
21:00,71128.45238775692,61799.04912403886
21:05,69764.86362037528,60335.118838637696
21:10,68040.72602925787,59724.62214248835
21:15,66643.06152579046,58583.39778339263
21:20,65159.08903420684,57478.90347750522
21:25,64209.65814000904,56686.355352924584
21:30,62757.911312981276,56187.77728949231
21:35,61928.43389379248,55201.553754935645
21:40,61596.45361647204,54188.841370241695
21:45,61333.39925987054,53404.20101005767
21:50,60792.74812394407,52701.014944341485
21:55,60815.42225641528,52520.1734470747
22:00,59175.18325793328,50944.454164438386
22:05,58343.16736850577,49408.0576446486
22:10,57376.655581345796,48127.345507015925
22:15,55795.317697385784,47283.98027352592
22:20,55241.75908566925,46137.48407149913
22:25,54317.368694504185,45405.734987935066
22:30,53777.87923139882,44814.03543666291
22:35,53496.36718441753,44360.5705209359
22:40,52829.523960183535,43521.09435190324
22:45,52370.92134536257,43133.268201850835
22:50,51984.514545127364,42642.25220819674
22:55,51954.181977020715,42845.30458469772
23:00,51775.11226289323,43297.041027332576
23:05,52034.85370070861,43481.55552992018
23:10,52089.58139805848,43964.01558176811
23:15,52482.26983651152,44080.557880006694
23:20,52193.1423788141,44365.84236386697
23:25,52352.50667990208,44608.779256969436
23:30,52645.93662952953,44331.05684288734
23:35,52714.38927613617,44516.26273471181
23:40,52417.3882582068,44964.45580750775
23:45,52510.881407846166,45075.55341550605
23:50,52375.998285839996,45557.84062004476
23:55,52945.90636689061,45988.10078450958
