time,weekday_power,weekend_power
00:00,33305.12951055813,29992.777686351208
00:05,36509.99637100964,32548.399938658713
00:10,39490.8967751006,35311.84858456355
00:15,42665.75190325329,38119.781910566504
00:20,45795.262909853256,40883.471829312555
00:25,48723.77765066008,44031.29827037021
00:30,50594.35753294835,46985.26198351556
00:35,53092.82714849693,49550.685944997225
00:40,55168.34996714556,51490.157679064476
00:45,57099.18046053893,53594.599718309124
00:50,59122.516369097466,55385.74897324248
00:55,60864.84365460827,57068.084176790086
01:00,59385.06933841365,55627.836110291646
01:05,58279.944792969225,54117.89035178864
01:10,56758.46069934133,52935.29152059742
01:15,55091.404087741765,51392.050110007425
01:20,53332.324747305414,49889.13142300466
01:25,51443.06206477815,48415.16547694711
01:30,49924.417302493566,47069.40588688757
01:35,48157.1039011616,45546.97425885195
01:40,46523.693365980296,44326.706705326804
01:45,44925.66089933668,43308.173406158436
01:50,43565.252072814954,41708.08208235831
01:55,42325.77036820495,40566.077406700686
02:00,40428.1316582149,39235.91007400434
02:05,38700.1997826147,38285.9887390551
02:10,37297.79724552536,37186.56871987105
02:15,35941.64741601861,36089.92333836092
02:20,34784.16560060349,35334.07584506003
02:25,33903.49019784799,34522.132416177796
02:30,32933.60300428558,33384.591288082556
02:35,32047.13536558972,32875.02304744686
02:40,31442.30100283711,31912.374570123782
02:45,30538.428263006736,30911.514506574054
02:50,29987.62637571738,30018.503403045233
02:55,29546.79179135455,29700.596275645796
03:00,28958.36876376629,28776.038748128758
03:05,28390.843214864817,28395.551477540455
03:10,27455.11317736247,28056.35202190423
03:15,26937.872186551078,27501.907032803458
03:20,26266.199963976873,26970.805191089763
03:25,25783.797568747934,26462.171882713756
03:30,25039.097744023707,26175.17783809436
03:35,24688.213176617046,25660.24127674174
03:40,24280.740735538144,25236.083621894417
03:45,23788.656220428507,25038.78275599487
03:50,23570.36842675458,24802.81791729141
03:55,23369.599307468892,24716.71367208456
04:00,23272.153455766376,24402.305000882672
04:05,23276.32727284105,24191.49285587536
04:10,22981.40592621109,23969.19009180542
04:15,22721.465141730754,23656.25921675594
04:20,22186.64868990425,23358.98091727997
04:25,22084.830267933034,23034.468945852408
04:30,21899.67747103557,22888.740149761517
04:35,21551.972954733417,22799.770789565297
04:40,21320.56745025338,22571.436204465106
04:45,20981.835220996098,22603.254060399686
04:50,20890.238391860807,22555.331242314332
04:55,20838.193448337875,22283.92945505814
05:00,21389.648381836192,22700.185424355837
05:05,22181.85021993405,22667.915181843986
05:10,23100.203549615322,22820.520253909366
05:15,23650.55114388975,23007.868615108993
05:20,24165.009589984693,22759.508384188364
05:25,24686.935477512554,22935.697876482027
05:30,25561.2223847456,23110.43973172843
05:35,26378.325158724318,23424.396016353054
05:40,27040.65598117902,23700.92485148496
05:45,27699.977112409815,23812.96592712189
05:50,27999.24263599504,24133.55721487979
05:55,28454.529416895337,24293.098881129958
06:00,29600.96623338497,25703.127524266834
06:05,30593.482897753584,26669.847480785334
06:10,31520.638154599124,28031.44060104929
06:15,32269.000716756225,29138.038487259335
06:20,32854.556019687734,30230.310798522536
06:25,33521.23101909771,31348.761213057027
06:30,34232.79584704547,32348.53554882131
06:35,34626.18520466153,33416.10755296562
06:40,35423.128726102725,34352.45729059681
06:45,35667.6803347023,35382.782799879315
06:50,35830.99867356969,35897.29713375982
06:55,36483.87452265116,36739.52030421392
07:00,37138.53915047892,37378.92349252579
07:05,37657.568920036596,37822.32265645962
07:10,37983.60933818927,38260.02174951986
07:15,38125.8882318027,38528.13619431457
07:20,38118.449183683224,38696.031932691636
07:25,38047.01160708546,38529.734626887584
07:30,38271.46074977438,38415.03954999734
07:35,37900.104603382424,38084.28464380347
07:40,37709.13117723117,38211.61638575209
07:45,37574.68883812528,37824.58458934596
07:50,37039.10576683609,37203.66893249182
07:55,37017.24291549257,36356.107600425945
08:00,35213.18856657814,35043.8246170843
08:05,33946.47767438575,33738.90045539957
08:10,32427.463799026544,32285.65381458093
08:15,31202.1787511331,30948.399092174044
08:20,29593.10128556399,29609.606255404444
