time,weekday_power,weekend_power
00:00,296083.85393063276,242998.060266852
00:05,291901.98038918443,238558.10049076608
00:10,286276.45787661494,234670.9235536145
00:15,280657.73460563796,230708.78452202576
00:20,274675.42189050367,224315.3025477003
00:25,266236.5431880101,220845.00834954574
00:30,260668.47426689704,215968.96618889426
00:35,255430.50852509832,210964.0359727739
00:40,248061.32050614007,205872.790828315
00:45,241162.30004330107,202599.83559591713
00:50,235625.84759559296,199029.20238048697
00:55,231636.7325532911,194446.83132031435
01:00,217486.49091312318,186936.43083421877
01:05,206043.02735091737,177734.79200369396
01:10,196317.22219600916,170637.4343274817
01:15,184973.87746625245,164893.56818713198
01:20,175270.84977067905,158561.35812518615
01:25,166396.47964418784,152537.34411297538
01:30,158300.6226800344,147565.30372448117
01:35,149555.60812483993,142826.66424472455
01:40,142812.29029446846,138232.27253689163
01:45,136722.37958113334,134620.9026821682
01:50,131485.4337255735,129983.93784720503
01:55,127351.32485631223,124901.37428161189
02:00,119247.81874536726,119544.67316798786
02:05,113742.64280898451,114248.74310642428
02:10,109165.73333101366,107900.67246770444
02:15,104668.3749796747,101470.79464351862
02:20,99801.81780986465,96876.73684256514
02:25,94760.35015008831,94482.45756344774
02:30,90451.16080982095,92505.72883708624
02:35,86125.48330869185,89222.92335174452
02:40,83112.39939698899,87868.09618836416
02:45,80838.05308430793,85133.56579908419
02:50,78074.3313580089,83638.83165321303
02:55,76943.10753806178,81481.45930506749
03:00,74264.2063506288,78568.78959559937
03:05,71466.65839740721,77189.58723001895
03:10,68272.71465934467,73651.84384221489
03:15,65614.72113980852,71088.774635534
03:20,63362.982305422425,69226.90987570434
03:25,61024.04319761291,66745.98176136888
03:30,59299.0756056034,64767.917407489585
03:35,58472.1178469193,62441.75513178058
03:40,57563.90915120518,61330.01217664196
03:45,56185.872861451426,59661.98036033473
03:50,55023.20254913914,58762.43522708847
03:55,53292.62558281583,58421.850210046454
04:00,52468.897463888155,58096.457956019556
04:05,51425.55384152371,56112.21632487037
04:10,50160.384962204946,55149.39583796778
04:15,50217.6685726215,54788.60945471886
04:20,49211.550797975826,53972.70799477556
04:25,49111.092003447084,53739.14013259822
04:30,48871.41873731254,53571.351925673116
04:35,49454.11374178717,52959.96842939475
04:40,48506.299463796924,52983.675817835916
04:45,48924.79278381342,52580.31630745674
04:50,48291.443429474886,52240.23215073391
04:55,47742.7446329626,51441.19298820299
05:00,51723.360623273875,54071.54443109364
05:05,55881.60680018841,56480.0147525878
05:10,59403.273983007995,58373.6006659655
05:15,63081.663684534,60077.52747181393
05:20,66721.97763314217,61051.36688573848
05:25,69790.64534486347,63721.954107603204
05:30,73090.14730864912,65841.2610714911
05:35,73758.68273822869,68363.426685439
05:40,76948.03698821632,70905.12585183489
05:45,80227.99113242362,72561.13702048181
05:50,83335.5845022618,72826.09212932774
05:55,84054.60430066545,74122.3186353641
06:00,88847.38969919721,78892.34536178928
06:05,95673.82825803659,82750.8063073079
06:10,102261.10349386088,88597.8496734086
06:15,106812.00587274053,93887.10159738311
06:20,110524.05182014925,97681.28546860703
06:25,114138.52865070605,102439.45850081164
06:30,118431.39981115148,105702.3965268259
06:35,120174.89533650049,110635.36981042413
06:40,123339.77231675522,113243.51644583116
06:45,125689.9301731923,115267.49299563524
